[2026-04-24T07:33:27.473Z] GET http://localhost:5174/src/renderer/App.tsx?t=1777016007402 → 200 (27ms, 20146B)
[2026-04-24T07:33:27.473Z] GET http://localhost:5174/src/renderer/index.css?t=1777016007402 → 200 (28ms, 19412B)
[2026-04-24T07:33:27.473Z] GET http://localhost:5174/src/renderer/dev-mock.ts → 200 (28ms, 9977B)
[2026-04-24T07:33:27.473Z] GET http://localhost:5174/node_modules/.vite/deps/chunk-ODY6T4AV.js?v=9880098f → 200 (?ms, 46922B)
[2026-04-24T07:33:27.474Z] GET http://localhost:5174/node_modules/vite/dist/client/env.mjs → 200 (27ms, 3861B)
[2026-04-24T07:33:27.501Z] GET http://localhost:5174/src/renderer/store.ts → 200 (1ms, 11530B)
[2026-04-24T07:33:27.501Z] GET http://localhost:5174/src/renderer/components/ProjectList.tsx → 200 (1ms, 11302B)
[2026-04-24T07:33:27.501Z] GET http://localhost:5174/src/renderer/components/TaskList.tsx → 200 (1ms, 23253B)
[2026-04-24T07:33:27.501Z] GET http://localhost:5174/src/renderer/components/TimeCanvas.tsx?t=1777016007402 → 200 (1ms, 35579B)
[2026-04-24T07:33:27.502Z] GET http://localhost:5174/node_modules/.vite/deps/zustand.js?v=9880098f → 200 (?ms, 1972B)
[2026-04-24T07:33:35.768Z] GET http://localhost:5174/ → 200 (2ms, 372B)
[2026-04-24T07:33:35.772Z] GET http://localhost:5174/@vite/client → 304 (1ms, ?B)
[2026-04-24T07:33:35.772Z] GET http://localhost:5174/src/renderer/index.tsx?t=1777016015716 → 200 (2ms, 2330B)
[2026-04-24T07:33:35.773Z] GET http://localhost:5174/node_modules/vite/dist/client/env.mjs → 304 (2ms, ?B)
[2026-04-24T07:33:35.774Z] GET http://localhost:5174/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=9880098f → 200 (?ms, 12434B)
[2026-04-24T07:33:35.774Z] GET http://localhost:5174/node_modules/.vite/deps/react.js?v=9880098f → 200 (?ms, 724B)
[2026-04-24T07:33:35.774Z] GET http://localhost:5174/node_modules/.vite/deps/react-dom_client.js?v=9880098f → 200 (?ms, 1021706B)
[2026-04-24T07:33:35.774Z] GET http://localhost:5174/src/renderer/App.tsx?t=1777016015716 → 200 (2ms, 20146B)
[2026-04-24T07:33:35.774Z] GET http://localhost:5174/src/renderer/index.css?t=1777016015716 → 200 (18ms, 19412B)
[2026-04-24T07:33:35.774Z] GET http://localhost:5174/src/renderer/dev-mock.ts → 304 (18ms, ?B)
[2026-04-24T07:33:35.774Z] GET http://localhost:5174/node_modules/.vite/deps/chunk-ODY6T4AV.js?v=9880098f → 200 (?ms, 46922B)
[2026-04-24T07:33:35.776Z] GET http://localhost:5174/src/renderer/store.ts → 304 (16ms, ?B)
[2026-04-24T07:33:35.776Z] GET http://localhost:5174/src/renderer/components/ProjectList.tsx → 304 (16ms, ?B)
[2026-04-24T07:33:35.776Z] GET http://localhost:5174/src/renderer/components/TaskList.tsx → 304 (17ms, ?B)
[2026-04-24T07:33:35.776Z] GET http://localhost:5174/src/renderer/components/TimeCanvas.tsx?t=1777016015716 → 500 (17ms, ?B)
[2026-04-24T07:33:35.793Z] GET http://localhost:5174/node_modules/.vite/deps/zustand.js?v=9880098f → 200 (?ms, 1972B)
[2026-04-24T07:33:49.461Z] GET http://localhost:5174/ → 200 (4ms, 372B)
[2026-04-24T07:33:49.468Z] GET http://localhost:5174/@vite/client → 304 (2ms, ?B)
[2026-04-24T07:33:49.468Z] GET http://localhost:5174/src/renderer/index.tsx?t=1777016029408 → 200 (2ms, 2330B)
[2026-04-24T07:33:49.470Z] GET http://localhost:5174/node_modules/vite/dist/client/env.mjs → 304 (26ms, ?B)
[2026-04-24T07:33:49.470Z] GET http://localhost:5174/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=9880098f → 200 (?ms, 12434B)
[2026-04-24T07:33:49.471Z] GET http://localhost:5174/node_modules/.vite/deps/react.js?v=9880098f → 200 (?ms, 724B)
[2026-04-24T07:33:49.471Z] GET http://localhost:5174/node_modules/.vite/deps/react-dom_client.js?v=9880098f → 200 (?ms, 1021706B)
[2026-04-24T07:33:49.471Z] GET http://localhost:5174/src/renderer/App.tsx?t=1777016029408 → 200 (25ms, 20146B)
[2026-04-24T07:33:49.471Z] GET http://localhost:5174/src/renderer/index.css?t=1777016029408 → 200 (25ms, 19412B)
[2026-04-24T07:33:49.471Z] GET http://localhost:5174/src/renderer/dev-mock.ts → 304 (25ms, ?B)
[2026-04-24T07:33:49.471Z] GET http://localhost:5174/node_modules/.vite/deps/chunk-ODY6T4AV.js?v=9880098f → 200 (1ms, 46922B)
[2026-04-24T07:33:49.497Z] GET http://localhost:5174/src/renderer/store.ts → 304 (?ms, ?B)
[2026-04-24T07:33:49.497Z] GET http://localhost:5174/src/renderer/components/ProjectList.tsx → 304 (?ms, ?B)
[2026-04-24T07:33:49.497Z] GET http://localhost:5174/src/renderer/components/TaskList.tsx → 304 (?ms, ?B)
[2026-04-24T07:33:49.497Z] GET http://localhost:5174/src/renderer/components/TimeCanvas.tsx?t=1777016029408 → 500 (1ms, ?B)
[2026-04-24T07:33:49.497Z] GET http://localhost:5174/node_modules/.vite/deps/zustand.js?v=9880098f → 200 (?ms, 1972B)
[2026-04-24T07:34:07.378Z] GET http://localhost:5174/ → 200 (3ms, 372B)
[2026-04-24T07:34:07.385Z] GET http://localhost:5174/@vite/client → 200 (2ms, 182535B)
[2026-04-24T07:34:07.385Z] GET http://localhost:5174/src/renderer/index.tsx?t=1777016047326 → 200 (?ms, 2346B)
[2026-04-24T07:34:07.386Z] GET http://localhost:5174/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=9880098f → 200 (?ms, 12434B)
[2026-04-24T07:34:07.386Z] GET http://localhost:5174/node_modules/.vite/deps/react.js?v=9880098f → 200 (?ms, 724B)
[2026-04-24T07:34:07.386Z] GET http://localhost:5174/node_modules/.vite/deps/react-dom_client.js?v=9880098f → 200 (1ms, 1021706B)
[2026-04-24T07:34:07.387Z] GET http://localhost:5174/src/renderer/App.tsx?t=1777016029408 → 200 (21ms, 20146B)
[2026-04-24T07:34:07.387Z] GET http://localhost:5174/src/renderer/index.css?t=1777016047326 → 200 (21ms, 19412B)
[2026-04-24T07:34:07.387Z] GET http://localhost:5174/src/renderer/dev-mock.ts?t=1777016047326 → 200 (21ms, 11614B)
[2026-04-24T07:34:07.387Z] GET http://localhost:5174/node_modules/.vite/deps/chunk-ODY6T4AV.js?v=9880098f → 200 (?ms, 46922B)
[2026-04-24T07:34:07.387Z] GET http://localhost:5174/node_modules/vite/dist/client/env.mjs → 200 (21ms, 3861B)
[2026-04-24T07:34:07.408Z] GET http://localhost:5174/src/renderer/store.ts → 200 (1ms, 11530B)
